alpha,beta,rate_hz_per_neuron
0.0,0.0,92.87767805804855
0.0,0.5,81.45796355091123
0.0,1.0,60.03849903752406
0.0,2.0,0.14999625009374765
0.25,0.0,90.91772705682358
0.25,0.5,78.05804854878629
0.25,1.0,51.7787055323617
0.25,2.0,0.009999750006249844
0.5,0.0,88.83777905552363
0.5,0.5,74.01814954626134
0.5,1.0,41.24896877578061
0.5,2.0,0.0
1.0,0.0,84.20789480262994
1.0,0.5,62.92842678933027
1.0,1.0,7.809804754881128
1.0,2.0,0.0
2.0,0.0,67.85830354241145
2.0,0.5,3.709907252318692
2.0,1.0,0.0
2.0,2.0,0.0
4.0,0.0,0.10999725006874829
4.0,0.5,0.0
4.0,1.0,0.0
4.0,2.0,0.0
