alpha,beta,rate_hz_per_neuron
0.0,0.0,2.029949251268718
0.0,0.5,1.5099622509437265
0.0,1.0,1.5299617509562262
0.0,2.0,1.5299617509562262
0.25,0.0,1.8499537511562212
0.25,0.5,1.5299617509562262
0.25,1.0,1.539961500962476
0.25,2.0,1.5299617509562262
0.5,0.0,1.729956751081223
0.5,0.5,1.549961250968726
0.5,1.0,1.5799605009874755
0.5,2.0,1.4999625009374766
1.0,0.0,1.659958501037474
1.0,0.5,1.5999600009999753
1.0,1.0,1.5899602509937254
1.0,2.0,1.5999600009999753
2.0,0.0,1.799955001124972
2.0,0.5,1.799955001124972
2.0,1.0,1.7499562510937228
2.0,2.0,1.6999575010624735
4.0,0.0,2.7499312517187073
4.0,0.5,2.719932001699958
4.0,1.0,2.7499312517187073
4.0,2.0,2.8099297517562065
